datetime,A_Leq,A_L10,A_L95,C_Leq,C_L10,C_L95,source_file,noise_class
2013-09-20 11:00:00,60.65,62.62,56.47,64.65,66.91,59.82,DCC-NOISE-001003-2013-09-20T00-00-00.txt,0
2013-01-28 13:00:00,69.9,75.17,62.17,82.2,89.41,68.85,DCC-NOISE-001014-2013-01-28T00-00-00.txt,1
2013-06-30 07:55:00,54.12,59.53,47.97,57.82,63.68,50.21,DCC-NOISE-001003-2013-06-30T00-00-00.txt,0
2013-06-06 09:10:00,67.99,71.17,64.12,74.03,77.95,68.39,DCC-NOISE-001003-2013-06-06T00-00-00.txt,1
2013-07-26 14:30:00,54.95,58.38,47.99,59.43,63.01,53.23,DCC-NOISE-001003-2013-07-26T00-00-00.txt,0
2013-08-18 15:20:00,84.05,89.61,62.36,87.9,92.53,65.34,DCC-NOISE-001003-2013-08-18T00-00-00.txt,1
2013-06-27 05:35:00,57.91,61.08,50.03,58.7,62.07,53.44,DCC-NOISE-001003-2013-06-27T00-00-00.txt,0
2013-11-09 02:11:00,54.86,59.38,48.15,56.65,60.33,51.02,DCC-NOISE-001003-2013-11-09T00-00-00.txt,0
2013-01-06 16:55:00,57.54,60.28,52.46,61.35,63.4,56.04,DCC-NOISE-001003-2013-01-06T00-00-00.txt,0
2013-04-29 10:00:00,60.3,62.81,56.6,65.12,69.01,60.25,DCC-NOISE-001003-2013-04-29T00-00-00.txt,0
2013-04-30 23:10:00,53.18,58.04,46.33,55.72,59.52,49.7,DCC-NOISE-001003-2013-04-30T00-00-00.txt,0
2013-10-27 00:40:00,55.22,59.81,49.03,57.1,61.27,50.99,DCC-NOISE-001003-2013-10-27T00-00-00.txt,0
2013-01-20 11:57:00,60.8,61.87,53.56,61.86,63.63,54.95,DCC-NOISE-001003-2013-01-20T00-00-00.txt,0
